ID,heading,sortid,path
482,Ahmed,483.5,9/0080/A2925
483,Ahmed Javid,484.5,9/0080/A2926
484,Ahmed Raghib,485.5,1/0081/A2927
485,Ahmed Sadiq,486.5,1/0081/A2928
486,Ahr,487.5,1/0081/A2929
487,Ahuma,488.5,1/0081/A2930
488,Aichinger,489.5,1/0081/A2931
489,Aidley,490.5,1/0081/A2932
490,Aiken,491.5,19/0082/A2934
491,Aikens,492.5,19/0082/A2933
492,Aikman,493.5,19/0082/A2935
493,Aimo,494.5,19/0082/A2936
494,Ainsworth,495.5,19/0082/A2937
495,"Ainsworth, W",496.5,19/0082/A2938
496,Air (Person),497.5,19/0082/A2939
497,Air (Place),498.5,19/0082/A2940
498,Air (Subject),499.5,sub
499,"Air, Compressed",500.5,2/0083/A2948
500,"Air (Titles, etc.)",501.5,2/0083/A2502
501,Air D,502.5,2/0083/A2949
502,Air lines,503.5,sub
503,"Air lines, Local service",504.5,9/0084/A2954
504,Air P,505.5,9/0084/A2955
505,Air Po,506.5,9/0084/A2956
506,Air Q,507.5,9/0084/A2957
507,Air S,508.5,9/0084/A2958
508,Air T,509.5,9/0084/A2959
509,Aira,510.5,9/0084/A2472
510,Aircraft,511.5,2/0085/A2960
511,Aircraft I,512.5,2/0085/A2966
512,Aire,513.5,2/0085/A2967
513,Airplanes,514.5,sub
514,"Airplanes, Home-built",515.5,2/0086/A2975
515,Airports,516.5,sub
516,"Airports, Floating",517.5,2/0086/A2980
517,Aisha,518.5,2/0086/A2981
518,Aitken,519.5,3/0087/A2982
519,Aix,520.5,3/0087/A2983
520,Aixala,521.5,3/0087/A2984
521,Ajdic,522.5,3/0087/A2985
522,Ajtony,523.5,3/0087/A2986
523,Akademie,524.5,3/0088/A2987
524,"Akademie der Wissenschaften, Berlin",525.5,sub
525,"Akademie der Wissenschaften, Goettingen",526.5,sub
526,"Akademie der Wissenschaften, Munich",527.5,sub
527,"Akademie der Wissenschaften, Vienna",528.5,sub
528,Akademie der Wissenschaften der DDR,529.5,sub
529,"Akademie der Wissenschaften der DDR (Titles, etc.)",530.5,19/0090/A3025
530,"Akademie der Wissenschaften und der Literatur, Mainz",531.5,sub
531,Akademie der Wissenschaften zu Berlin,532.5,9/0091/A3031
532,"Akademie van Wetenschappen, Amsterdam",533.5,sub
533,Akademie ved SSSR,534.5,9/0091/A3034
534,Akademiia Generalnogo Shtaba,535.5,9/0091/A3040
535,Akademiia nauk,536.5,9/0091/A3041
536,"Akademiia nauk Gruzinskoi SSR, Tiflis",537.5,9/0092/A3050
537,"Akademiia nauk Kazakhskoi SSR, Alma-Ata",538.5,9/0092/A3049
538,"Akademiia nauk Kirgizskoi SSR, Frunze",539.5,9/0092/A3042
539,Akademiia nauk SSSR,540.5,sub
540,"Akademiia nauk SSSR (Titles, etc.)",541.5,8/0098/A3111
541,"Akademiia nauk URSR, Kiev",542.5,sub
542,Akademiia nauk Ukrainskoi SSR,543.5,8/0099/A3119
543,"Akademiia navuk BSSR, Minsk",544.5,sub
544,Akademiia navuk Belaruskai SSR,545.5,8/0099/A3125
545,Akademija,546.5,8/0099/A3127
546,Akavia,547.5,8/0099/A3128
547,Akbarov,548.5,1/0100/A3140
548,Akers,549.5,1/0100/A3153
549,Akhilananda,550.5,1/0100/A3154
550,Akhrem,551.5,1/0100/A3155
551,Akin,552.5,1/0100/A3156
552,Akkusak,553.5,8/0101/A3157
553,Aksa,554.5,8/0101/A3158
554,Akt,555.5,8/0101/A3159
555,Aktualne,556.5,8/0101/A3160
556,Akunal,557.5,8/0101/A3161
557,Al,558.5,8/0101/A3162
558,Al ha-amanah,559.5,3/0102/A3163
559,Al Tabataba,560.5,3/0102/A3164
560,Alabama,561.5,sub
561,Alabama (Territory),562.5,3/0102/A3171
562,Alabin,563.5,3/0102/A3172
563,Alaidon,564.5,3/0103/A3173
564,Alamande,565.5,3/0103/A3174
565,Aland,566.5,3/0103/A3175
566,Alarcon,567.5,3/0103/A3176
567,Alarni,568.5,3/0103/A3177
568,Alaska,569.5,sub
